Layer,Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
3,25,87,0.60,3,1.81
3,26,69,0.48,3,1.44
3,27,77,0.53,4,2.14
3,28,74,0.51,3,1.54
3,29,76,0.53,4,2.11
3,30,65,0.45,4,1.81
3,31,67,0.47,5,2.33
3,32,82,0.57,1,0.57
3,33,75,0.52,2,1.04
3,34,77,0.53,2,1.07
3,35,75,0.52,3,1.56
3,36,71,0.49,2,0.99
3,37,70,0.49,3,1.46
3,38,87,0.60,3,1.81
3,39,79,0.55,4,2.19
3,40,83,0.58,2,1.15
3,41,88,0.61,3,1.83
3,42,97,0.67,3,2.02
3,43,91,0.63,4,2.53
3,44,86,0.60,3,1.79
3,45,81,0.56,4,2.25
3,46,85,0.59,4,2.36
3,47,81,0.56,5,2.81
3,48,77,0.53,2,1.07
3,49,71,0.49,3,1.48
3,50,87,0.60,3,1.81
3,51,70,0.49,4,1.94
3,52,75,0.52,3,1.56
3,53,67,0.47,4,1.86
3,54,73,0.51,4,2.03
3,55,85,0.59,5,2.95
3,56,84,0.58,3,1.75
3,57,80,0.56,4,2.22
3,58,96,0.67,4,2.67
3,59,72,0.50,5,2.50
3,60,87,0.60,4,2.42
3,61,73,0.51,5,2.53
3,62,81,0.56,5,2.81
3,63,82,0.57,6,3.42
3,64,84,0.58,1,0.58
3,65,65,0.45,2,0.90
3,66,73,0.51,2,1.01
3,67,68,0.47,3,1.42
3,68,63,0.44,2,0.88
3,69,77,0.53,3,1.60
3,70,63,0.44,3,1.31
3,71,74,0.51,4,2.06
3,72,75,0.52,2,1.04
3,73,64,0.44,3,1.33
3,74,78,0.54,3,1.63
3,75,81,0.56,4,2.25
3,76,59,0.41,3,1.23
3,77,74,0.51,4,2.06
3,78,68,0.47,4,1.89
3,79,65,0.45,5,2.26
3,80,55,0.38,2,0.76
3,81,69,0.48,3,1.44
3,82,68,0.47,3,1.42
3,83,74,0.51,4,2.06
3,84,70,0.49,3,1.46
3,85,54,0.38,4,1.50
3,86,59,0.41,4,1.64
3,87,53,0.37,5,1.84
3,88,46,0.32,3,0.96
3,89,43,0.30,4,1.19
3,90,42,0.29,4,1.17
3,91,41,0.28,5,1.42
3,92,35,0.24,4,0.97
3,93,33,0.23,5,1.15
3,94,28,0.19,5,0.97
3,95,22,0.15,6,0.92
3,96,24,0.17,2,0.33
3,97,14,0.10,3,0.29
3,98,9,0.06,3,0.19
3,99,8,0.06,4,0.22
3,100,9,0.06,3,0.19
3,101,7,0.05,4,0.19
3,102,4,0.03,4,0.11
3,103,7,0.05,5,0.24
3,104,4,0.03,3,0.08
3,105,3,0.02,4,0.08
3,106,5,0.03,4,0.14
3,107,3,0.02,5,0.10
3,108,4,0.03,4,0.11
3,109,0,0.00,5,0.00
3,110,0,0.00,5,0.00
3,111,0,0.00,6,0.00
3,112,0,0.00,3,0.00
3,113,0,0.00,4,0.00
3,114,0,0.00,4,0.00
3,115,0,0.00,5,0.00
3,116,0,0.00,4,0.00
3,117,1,0.01,5,0.03
3,118,0,0.00,5,0.00
3,119,0,0.00,6,0.00
3,120,0,0.00,4,0.00
3,121,0,0.00,5,0.00
3,122,0,0.00,5,0.00
3,123,0,0.00,6,0.00
3,124,0,0.00,5,0.00
3,125,0,0.00,6,0.00
3,126,0,0.00,6,0.00
3,127,1,0.01,7,0.05
5,-128,0,0.00,1,0.00
5,-127,1,0.01,2,0.01
5,-126,0,0.00,2,0.00
5,-125,0,0.00,3,0.00
5,-124,0,0.00,2,0.00
5,-123,0,0.00,3,0.00
5,-122,1,0.01,3,0.02
5,-121,0,0.00,4,0.00
5,-120,0,0.00,2,0.00
5,-119,0,0.00,3,0.00
5,-118,0,0.00,3,0.00
5,-117,1,0.01,4,0.03
5,-116,1,0.01,3,0.02
5,-115,5,0.03,4,0.14
5,-114,0,0.00,4,0.00
5,-113,2,0.01,5,0.07
5,-112,6,0.04,2,0.08
5,-111,4,0.03,3,0.08
5,-110,4,0.03,3,0.08
5,-109,2,0.01,4,0.06
5,-108,11,0.08,3,0.23
5,-107,6,0.04,4,0.17
5,-106,15,0.10,4,0.42
5,-105,14,0.10,5,0.49
5,-104,11,0.08,3,0.23
5,-103,16,0.11,4,0.44
5,-102,20,0.14,4,0.56
5,-101,24,0.17,5,0.83
5,-100,25,0.17,4,0.69
5,-99,39,0.27,5,1.35
5,-98,40,0.28,5,1.39
5,-97,36,0.25,6,1.50
5,-96,43,0.30,2,0.60
5,-95,47,0.33,3,0.98
5,-94,57,0.40,3,1.19
5,-93,47,0.33,4,1.31
5,-92,62,0.43,3,1.29
5,-91,69,0.48,4,1.92
5,-90,53,0.37,4,1.47
5,-89,51,0.35,5,1.77
5,-88,62,0.43,3,1.29
5,-87,60,0.42,4,1.67
5,-86,57,0.40,4,1.58
5,-85,75,0.52,5,2.60
5,-84,75,0.52,4,2.08
5,-83,68,0.47,5,2.36
5,-82,81,0.56,5,2.81
5,-81,70,0.49,6,2.92
5,-80,76,0.53,3,1.58
5,-79,65,0.45,4,1.81
5,-78,77,0.53,4,2.14
5,-77,70,0.49,5,2.43
5,-76,73,0.51,4,2.03
5,-75,83,0.58,5,2.88
5,-74,75,0.52,5,2.60
5,-73,78,0.54,6,3.25
5,-72,81,0.56,4,2.25
5,-71,78,0.54,5,2.71
5,-70,91,0.63,5,3.16
5,-69,66,0.46,6,2.75
5,-68,73,0.51,5,2.53
5,-67,77,0.53,6,3.21
5,-66,56,0.39,6,2.33
5,-65,68,0.47,7,3.31
5,-64,80,0.56,2,1.11
5,-63,70,0.49,3,1.46
5,-62,73,0.51,3,1.52
5,-61,76,0.53,4,2.11
5,-60,82,0.57,3,1.71
5,-59,88,0.61,4,2.44
5,-58,81,0.56,4,2.25
5,-57,67,0.47,5,2.33
5,-56,81,0.56,3,1.69
5,-55,82,0.57,4,2.28
5,-54,76,0.53,4,2.11
5,-53,69,0.48,5,2.40
5,-52,84,0.58,4,2.33
5,-51,86,0.60,5,2.99
5,-50,65,0.45,5,2.26
5,-49,74,0.51,6,3.08
5,-48,81,0.56,3,1.69
5,-47,56,0.39,4,1.56
